birth,brand,code,explain,firm_import,firm_madein,image_link,made_in,material,material2,now_price,origin_price,product,star_score,target
2019-10-31,A HAUTE,300801880,Handmade Wool Jacket (Taupe),A HAUTE,A HAUTE / KOREA,nan,KOREA,fabric - wool100 / lining - polyester48 viscos52,fabric - wool100 / lining - polyester48 viscos52,"256,000","320,000",JACKET,0,WOMEN
2019-10-31,A HAUTE,300801802,Suri Alpaca Coat (Beige),A HAUTE,A HAUTE / KOREA,nan,KOREA,suri 51 wool 44 nylon 5,suri 51 wool 44 nylon 5,"448,000","560,000",COAT,0,WOMEN
2019-10-31,A HAUTE,300801108,Suri Alpaca Coat (Dark Navy),A HAUTE,A HAUTE / KOREA,nan,KOREA,suri 51 wool 44 nylon 5,suri 51 wool 44 nylon 5,"448,000","560,000",COAT,0,WOMEN
2019-11-20,A HAUTE,300817019,Suri Alpaca Jumper (Dark Navy),A HAUTE,A HAUTE / KOREA,nan,KOREA,suri 51 wool 44 nylon 5,suri 51 wool 44 nylon 5,"257,600","368,000",JUMPER,0,WOMEN
2019-11-13,A HAUTE,300806695,Demian Dress,A HAUTE,A HAUTE / KOREA,nan,KOREA,polyester 100,polyester 100,nan,"156,000",MAXIS,0,WOMEN
2018-08-01,A.Bell,300510513,Lambswool knit leggings / 램 울 니트 레깅스,A.Bell,A.Bell / KOREA,nan,KOREA,"lambswool 80%, nylon 20%","lambswool 80%, nylon 20%","89,100","99,000",TURTLE-NECK,0,WOMEN
2017-03-20,A.Bell,300313117,17SS WASHED DESTROYED OVERALL_PANTS,A.Bell,A.Bell / KOREA,nan,KOREA,100% cotton,100% cotton,nan,"173,000",JUMPSUIT,0,WOMEN
2016-03-28,A.Bell,300215104,COCO JEAN_PT,A.Bell,A.Bell / KOREA,nan,KOREA,COTTON 100%,COTTON 100%,nan,"69,000",STRAIGHT,0,WOMEN
2019-07-01,A.Bell,300707720,String skirt 5,A.Bell,A.Bell / KOREA,nan,KOREA,cotton 70% nylon 27% span 3%,cotton 70% nylon 27% span 3%,nan,"151,000",BLOUSE,0,WOMEN
2019-11-06,A.P.C,300793202,[WOMEN] 18FW ANGELICA CASHMERE KNIT NAVY WVATW-F23740 IAM,(주)엔코드,(주)엔코드 / U.S.A.,nan,U.S.A.,"울 70%, 캐시미어 30%","울 70%, 캐시미어 30%","217,000","465,000",PULLOVER,0,WOMEN
2019-11-06,A.P.C,300793191,[WOMEN] 18SS JEAN MOULANT BLUE,(주)엔코드,(주)엔코드 / U.S.A.,nan,U.S.A.,"98% COTTON, 2% POLYURETHANE","98% COTTON, 2% POLYURETHANE","173,000","288,000",SKINNY,0,WOMEN
2019-06-18,a.mont,300694335,투톤 스트라이프 셔츠 #AS1951 ,주식회사 더산,주식회사 더산 / KOREA,nan,KOREA,cotton 100%,cotton 100%,nan,"48,000",SHIRTS,0,WOMEN
2018-10-10,AAN,300534382,BEIGE POKET SKIRT,AAN,AAN / KOREA,nan,KOREA,COTTON 100%,COTTON 100%,nan,"228,000",MIDDLE-LENGTH SKIRT,0,WOMEN
2018-10-10,AAN,300534370,BLACK WRAP SHIRT,AAN,AAN / KOREA,nan,KOREA,POLY 100%,POLY 100%,nan,"228,000",MIDDLE-LENGTH SKIRT,0,WOMEN
2018-10-10,AAN,300534374,BLACK LAP SHIRT,AAN,AAN / KOREA,nan,KOREA,COTTON 100%,COTTON 100%,nan,"189,000",SHIRTS,0,WOMEN
2018-10-10,AAN,300534376,BLACK POKET SKIRT,AAN,AAN / KOREA,nan,KOREA,COTTON 100%,COTTON 100%,nan,"228,000",MIDDLE-LENGTH SKIRT,0,WOMEN
2019-03-28,ACIDBLACK,300673202,V LINE PIPING PK T (BLACK),에시드블랙,에시드블랙 / CHINA,nan,CHINA,COTTON 100%,COTTON 100%,"18,900","59,000",SHORT-SLEEVE TEE,0,MEN
2019-03-28,ACIDBLACK,300673205,A LOGO BLOCK KARA T (WHITE),에시드블랙,에시드블랙 / CHINA,nan,CHINA,COTTON 100%,COTTON 100%,"18,900","59,000",SHORT-SLEEVE TEE,0,MEN
2019-03-28,ACIDBLACK,300673203,V LINE PIPING PK T (WHITE),에시드블랙,에시드블랙 / CHINA,nan,CHINA,COTTON 100%,COTTON 100%,"18,900","59,000",SHORT-SLEEVE TEE,0,MEN
2019-03-28,ACIDBLACK,300673204,A LOGO BLOCK KARA T (BLACK),에시드블랙,에시드블랙 / CHINA,nan,CHINA,COTTON 100%,COTTON 100%,"18,900","59,000",SHORT-SLEEVE TEE,0,MEN
2019-03-28,ACIDBLACK,300673199,BIG POCKET SEERSUCKER SHIRTS (BLACK),에시드블랙,에시드블랙 / CHINA,nan,CHINA,POLY 100%,POLY 100%,"21,900","52,000",SHORT-SLEEVE SHIRTS,0,MEN
2020-01-02,Acne Studios ,300841966,[WOMEN] 19FW DRAMATIC MOHAIR OVERSIZED SWEATER BLACK A60034-900,주식회사 엔코드,주식회사 엔코드 / ITALY,nan,ITALY,38% nylon 30% wool 28% mohair 4% elastane,38% nylon 30% wool 28% mohair 4% elastane,"297,000","480,000",PULLOVER,0,WOMEN
2020-01-02,Acne Studios ,300842056,[WOMEN] WANDA LOGO TSHIRT WHITE AL0015,주식회사 엔코드,주식회사 엔코드 / ITALY,nan,ITALY,100% cotton,100% cotton,"128,000","235,000",PULLOVER,0,WOMEN
2020-01-02,Acne Studios ,300841960,[19FW] WOMEN STRIPED SWEATER PURPLE/MULTI A60109-BNL,주식회사 엔코드,주식회사 엔코드 / ITALY,nan,ITALY,Wool 100%,Wool 100%,"288,000","520,000",PULLOVER,0,WOMEN
2019-11-01,ADE,300806217,ASK012_Corduroy Banding Long Skirt_Navy,어반시티,어반시티 / KOREA,nan,KOREA,COTTON 100%,COTTON 100%,"41,300","59,000",LONG SKIRT,0,WOMEN
2019-11-01,ADE,300806230,AKN006__A Logo Stripe Knit Sweater_Bluegreen,어반시티,어반시티 / KOREA,nan,KOREA,ACRYLIC 100%,ACRYLIC 100%,"62,300","89,000",PULLOVER,0,WOMEN
2019-11-07,ADE,300786953,AOL007_Grape Logo Fleece Zipup Hoodie_Ash Blue,URBANCITY,URBANCITY / KOREA,nan,KOREA,ACRYLIC 20% POLY 80%,ACRYLIC 20% POLY 80%,"89,600","128,000",JACKET,0,WOMEN
2019-09-25,ADE,300780259,ALT012_Heart Dew Embroidery Sweatshirts_Violet,어반시티,어반시티 / KOREA,nan,KOREA,COTTON 100%,COTTON 100%,"34,500","69,000",GRAPHIC TEE,0,WOMEN
2019-11-07,ADE,300786949,AOL006_Grape Logo Fleece Zipup Hoodie_Cream,URBANCITY,URBANCITY / KOREA,nan,KOREA,ACRYLIC 20% POLY 80%,ACRYLIC 20% POLY 80%,"89,600","128,000",JACKET,0,WOMEN
2016-05-01,ADD ROBE,300241874,PJM Long Robe _ Navy,ADD ROBE,ADD ROBE / KOREA,nan,KOREA,RAYON 100%,RAYON 100%,nan,"112,000",로브,0,LIFE
2016-05-01,ADD ROBE,300241871,PJM Long Robe _ Pink dots,ADD ROBE,ADD ROBE / KOREA,nan,KOREA,RAYON 100%,RAYON 100%,nan,"122,000",로브,0,LIFE
2018-02-01,AECA WHITE,300475127,[EXCLUSIVE COLLECTION] TERRY MID-STRING LONG PANTS - MELANGE NAVY,주나프렌즈,주나프렌즈 / KOREA,nan,KOREA,면100,면100,"74,500","149,000",ATHLETICS,0,MEN
2018-09-01,AECA WHITE,300529758,[WOMEN]ALEXA SUEDE SKIRT-CAMEL,에이카 화이트,에이카 화이트 / KOREA,nan,KOREA,COTTON SUEDE,COTTON SUEDE,nan,"209,000",MINI SKIRT,0,WOMEN
2017-10-25,Aintcrack,300376032,신슐레이트 덤블 후리스,에인트크랙,에인트크랙 / KOREA,nan,KOREA,폴리100 충전재 신슐레이트솜,폴리100 충전재 신슐레이트솜,"59,900","229,000",JACKET,0,MEN
2017-09-27,Aintcrack,300370013,1987 그래픽벤치코트 롱돕퍼 화이트,에인트크랙,에인트크랙 / KOREA,nan,KOREA,겉:poly100 안:poly100 충전재6oz,겉:poly100 안:poly100 충전재6oz,"89,000","298,000",PADDING,0,MEN
2019-06-01,Air of June,300716561,Soft hoodie - navy,Air of June,Air of June / KOREA,nan,KOREA,"cotton 60%, polyester 40%","cotton 60%, polyester 40%","54,900","61,000",HOODIES,0,WOMEN
2019-04-01,ATELIER PARK,300650946,MARRAKESH OVERFIT T SHIRT_PINK,PARK,PARK / KOREA,nan,KOREA,COTTON 100%,COTTON 100%,nan,"45,000",GRAPHIC TEE,0,WOMEN
2018-06-01,ATELIER PARK,300475825,ATP Basic Line_ UNBALANCE SKIRT _Navy,park,park / KOREA,nan,KOREA,COTTON,COTTON,nan,"118,000",LONG SKIRT,0,WOMEN
2019-09-01,Aintcrack,300744143,ASHV-05 리버서블 보아 후리스 후드 점퍼 (아이보리/베이지),에인트크랙,에인트크랙 / KOREA,nan,KOREA,폴리 100,폴리 100,"59,900","139,000",PADDING,0,MEN
2019-04-01,ATELIER PARK,300650945,MARRAKESH OVERFIT T SHIRT_WHITE,PARK,PARK / KOREA,nan,KOREA,COTTON 100%,COTTON 100%,nan,"45,000",GRAPHIC TEE,0,WOMEN
2019-10-01,atempo,300789274,"SLIM TURTLE NECK TOP, Coral Beige",atempo,atempo / KOREA,nan,KOREA,Rayon 95% Span 5%,Rayon 95% Span 5%,nan,"53,000",LONG-SLEEVE TEE,0,WOMEN
2017-04-30,ATHLUNA,300511438,슬림 핏 반하이넥 래쉬가드,(주)애니클로,(주)애니클로 / indonesia,nan,indonesia,"폴리에스테르80%,폴리우레탄20%","폴리에스테르80%,폴리우레탄20%",nan,"46,000",래쉬가드,0,LIFE
2019-10-01,atempo,300789382,"HOODY ROBE, Ivory",atempo,atempo / KOREA,nan,KOREA,Cotton 100%,Cotton 100%,"106,400","133,000",로브,0,LIFE
2019-02-28,AT FIRST SIGHT,300732332,ROUND COLLAR SHORT JACKET_BK,AT FIRST SIGHT,AT FIRST SIGHT / KOREA,nan,KOREA,폴리에스터 63%/ 레이온 33%/ 스판 4%,폴리에스터 63%/ 레이온 33%/ 스판 4%,"89,600","128,000",JACKET,0,WOMEN
2019-09-26,AT FIRST SIGHT,300755840,STITCH COTTON JACKET_BK,AT FIRST SIGHT,AT FIRST SIGHT / KOREA,nan,KOREA,면 100%,면 100%,"138,600","198,000",JACKET,0,WOMEN
2017-04-30,ATHLUNA,300511439,(TOP)레트로 크롭 집업 래쉬가드,(주)애니클로,(주)애니클로 / indonesia,nan,indonesia,"폴리에스테르80%,폴리우레탄20%","폴리에스테르80%,폴리우레탄20%",nan,"48,000",래쉬가드,0,LIFE
2017-04-01,AVOUAVOU,300457931,PINK OVER SIZE BASIC SHIRT,AVOUAVOU,AVOUAVOU / KOREA,nan,KOREA,RAYON 100%,RAYON 100%,nan,"199,000",SHIRTS,0,WOMEN
2017-04-01,AVOUAVOU,300458801,PINK DRAPE SILK DRESS ,AVOUAVOU,AVOUAVOU / KOREA,nan,KOREA,SILK,SILK,nan,"689,000",MAXIS,0,WOMEN
2018-05-01,AVOUAVOU,300464936,MJ DENIM PLEATS LONG SKIRTS ,AVOUAVOU,AVOUAVOU / KOREA,nan,KOREA,COTTON,COTTON,nan,"289,000",SKIRT,0,WOMEN
2017-04-01,AVOUAVOU,300458799,SKY BLUE DRAPE SILK DRESS ,AVOUAVOU,AVOUAVOU / KOREA,nan,KOREA,SILK,SILK,nan,"689,000",MAXIS,0,WOMEN
2018-03-15,AVOUAVOU,300446374,JAL DENIM TRENCH COAT ,avouavou,avouavou / KOREA,nan,KOREA,COTTON 100%,COTTON 100%,nan,"489,000",COAT,0,WOMEN
2016-10-14,AWESOME IMAGINATION,300268122,AWESOME TAILORED LOOSE CHECK SHIRTS Black,(주)우모어패럴,(주)우모어패럴 / KOREA,nan,KOREA,COTTON 100%,COTTON 100%,nan,"69,000",LONG-SLEEVE SHIRTS,0,MEN
2019-09-11,AYIHOLIC cashmere ,300745619,Neck Strap  Flared rib knit dress ,아이디어디자인하우스,아이디어디자인하우스 / CHINA,nan,CHINA,"Rayon 50%, Nylon 25%, Polyester 25%","Rayon 50%, Nylon 25%, Polyester 25%","95,200","119,000",MAXIS,0,WOMEN
2016-10-14,AWESOME IMAGINATION,300268120,AWESOME TAILORED LOOSE CHECK SHIRTS Red,(주)우모어패럴,(주)우모어패럴 / KOREA,nan,KOREA,COTTON 100%,COTTON 100%,nan,"69,000",LONG-SLEEVE SHIRTS,0,MEN
2016-10-13,AWESOME IMAGINATION,300268127,AWESOME FLIGHT WOOL JACKET Black,(주)우모어패럴,(주)우모어패럴 / KOREA,nan,KOREA,"겉감 : 울 70%, 폴리 20%, 나일론 10% / 안감 : 면 100%","겉감 : 울 70%, 폴리 20%, 나일론 10% / 안감 : 면 100%",nan,"198,000",JACKET,0,MEN
2016-10-14,AWESOME IMAGINATION,300268125,AWESOME FLIGHT WOOL JACKET Blue-Green,(주)우모어패럴,(주)우모어패럴 / KOREA,nan,KOREA,"겉감 : 울 70%, 폴리 20%, 나일론 10% / 안감 : 면 100%","겉감 : 울 70%, 폴리 20%, 나일론 10% / 안감 : 면 100%",nan,"198,000",JACKET,0,MEN
2019-09-11,AYIHOLIC cashmere ,300745621,Neck Strap Flared rib knit dress ,아이디어디자인하우스,아이디어디자인하우스 / CHINA,nan,CHINA,"Rayon 50%, Nylon 25%, Polyester 25%","Rayon 50%, Nylon 25%, Polyester 25%","95,200","119,000",MAXIS,0,WOMEN
2018-07-01,AYU,300505045,LINEN COTTON BELTED ROBE (KHAKI),AYU (아유),AYU (아유) / KOREA,nan,KOREA,"LINEN 55,COTTON 45","LINEN 55,COTTON 45",nan,"248,000",ROBE,0,WOMEN
2019-03-18,B SLASH B,300625917,Single collar over coat in Ivory ,비슬래쉬비 ,비슬래쉬비/ KOREA,nan,KOREA,COTTON 100%,COTTON 100%,"150,500","215,000",COAT,0,WOMEN
2019-09-11,AYIHOLIC cashmere ,300745666,Henley neck Flared rib knit dress,아이디어디자인하우스,아이디어디자인하우스 / CHINA,nan,CHINA,"Rayon 50%, Nylon 25%, Polyester 25%","Rayon 50%, Nylon 25%, Polyester 25%","90,300","129,000",MAXIS,0,WOMEN
2015-05-07,Barrel,300335063,피하 집업 래쉬가드 블랙 (BW5WRGT012BKSM),㈜배럴,㈜배럴 / KOREA,nan,KOREA,"폴리에스터86%, 폴리우레탄14%","폴리에스터86%, 폴리우레탄14%",nan,"62,000",래쉬가드,0,LIFE
2019-06-17,BAU by Bride And You,300677874,DIANA V-neck notched collar flared dress (Ivory),BAU by Bride And You,BAU by Bride And You / KOREA,nan,KOREA,"Upper : Silk 20%, Wool 80%","Upper : Silk 20%, Wool 80%","625,100","658,000",MAXIS,0,WOMEN
2019-05-10,BBYB,300672394,[BBYB x VLEEDA] Litch Maxi Robe,엔실,엔실 / KOREA,nan,KOREA,Poly 100%,Poly 100%,"113,400","189,000",ROBE,0,WOMEN
2019-02-22,BBYB,300609627,Lettering Loose Fit Sweatshirt (Pink),BBYB,BBYB / KOREA,nan,KOREA,Cotton 100%,Cotton 100%,"41,400","69,000",LONG-SLEEVE TEE,0,WOMEN
2019-05-10,BBYB,300672407,[BBYB x VLEEDA] Blue Wave Robe,엔실,엔실 / KOREA,nan,KOREA,Poly 100%,Poly 100%,"113,400","189,000",ROBE,0,WOMEN
2019-02-22,BBYB,300609636,Lettering Loose Fit Sweatshirt (Grey),BBYB,BBYB / KOREA,nan,KOREA,Cotton 100%,Cotton 100%,"41,400","69,000",LONG-SLEEVE TEE,0,WOMEN
2019-10-01,BC by beyondcloset,300774788,기모 ILP HQ WAPPEN COTTON CARDIGAN BURGUNDY,BC by beyondcloset,BC by beyondcloset / KOREA,nan,KOREA,COTTON 100%,COTTON 100%,"61,600","88,000",CARDIGAN,0,WOMEN
2018-08-24,BC by beyondcloset,300506699,ILP BASKETBALL DOG RUGBY T-SHIRTS BURGUNDY,BC By Beyondcloset,BC By Beyondcloset / KOREA,nan,KOREA,COTTON 100%,COTTON 100%,"60,000","75,000",LONG-SLEEVE TEE,0,MEN
2018-04-20,BC by beyondcloset,300455076,ILP CHECK SUMMER SHIRTS BLACK,BC By Beyondcloset,BC By Beyondcloset / KOREA,nan,KOREA,COTTON 100%,COTTON 100%,"54,600","78,000",LONG-SLEEVE SHIRTS,0,MEN
2018-02-01,beheder,300422279,becky ribon ops_khaki,헤더스,헤더스 / KOREA,nan,KOREA,Cotton97 polyurethane3,Cotton97 polyurethane3,"264,100","278,000",MAXIS,0,WOMEN
2019-11-01,BEMUSE MANSION,300789995,Maxi pleated one-piece - Cream,BEMUSE MANSION,BEMUSE MANSION / KOREA,nan,KOREA,OUTSHELL : POLYESTER 100% LINING : POLYESTER 100%,OUTSHELL : POLYESTER 100% LINING : POLYESTER 100%,"176,800","208,000",MAXIS,0,WOMEN
2019-08-01,BEMUSE MANSION,300729784,Cashmere blended sailor pullover - Ivory,BEMUSE MANSION,BEMUSE MANSION / KOREA,nan,KOREA,OUTSHELL : WOOL 55% NYLON 40% CASHMERE 5%,OUTSHELL : WOOL 55% NYLON 40% CASHMERE 5%,"142,800","168,000",PULLOVER,0,WOMEN
2019-05-01,BEN DAVIS,300661524,WHITE LABEL FATIGUE SHIRTS,SANMARINO,SANMARINO / CHINA,nan,CHINA,제품 상세 페이지 참고,제품 상세 페이지 참고,nan,"109,000",SHORT-SLEEVE SHIRTS,0,MEN
2019-10-02,BENSIMON,300778008,CORDUROY JACKET - DARK GREY,BENSIMON KOREA,BENSIMON KOREA / KOREA,nan,KOREA,Fabric1: COTTON 70% POLYESTER 30% Fabric2: COTTON 100%,Fabric1: COTTON 70% POLYESTER 30% Fabric2: COTTON 100%,"153,300","219,000",JACKET,0,WOMEN
2019-08-01,BEMUSE MANSION,300729902,Elly Pleated one-piece - Pink,BEMUSE MANSION,BEMUSE MANSION / KOREA,nan,KOREA,OUTSHELL : POLYESTER 100% LINING : POLYESTER 100%,OUTSHELL : POLYESTER 100% LINING : POLYESTER 100%,"187,200","208,000",MAXIS,0,WOMEN
2019-10-02,BENSIMON,300778026,HERITAGE 1979 MTM - GREY,BENSIMON KOREA,BENSIMON KOREA / KOREA,nan,KOREA,Fabric1: COTTON 100% Fabric2: COTTON 95% SPAN5%,Fabric1: COTTON 100% Fabric2: COTTON 95% SPAN5%,"83,300","119,000",LONG-SLEEVE TEE,0,WOMEN
2019-10-02,BENSIMON,300827533,SLOW B HEAVY MTM - GREY (UNISEX),BENSIMON KOREA,BENSIMON KOREA / KOREA,nan,KOREA,COTTON 100%,COTTON 100%,nan,"109,000",LONG-SLEEVE TEE,0,WOMEN
2019-10-02,BENSIMON,300777974,CORDUROY JACKET - BROWN,BENSIMON KOREA,BENSIMON KOREA / KOREA,nan,KOREA,Fabric1: COTTON 70% POLYESTER 30% Fabric2: COTTON 100%,Fabric1: COTTON 70% POLYESTER 30% Fabric2: COTTON 100%,"153,300","219,000",JACKET,0,WOMEN
2019-08-01,BENSIMON,300724326,Heritage Label Bensimon Over MTM - CREAM (UNISEX),벤시몽,벤시몽 / KOREA,nan,KOREA,COTTON 100%,COTTON 100%,nan,"89,000",LONG-SLEEVE TEE,0,WOMEN
2017-06-01,BIENSENTI,300340345,logo t-shirt (white) 비엔센티 로고 티셔츠 (화이트),비엔센티 ,비엔센티/ KOREA,nan,KOREA,cotton 100%,cotton 100%,nan,"29,000",SHORT-SLEEVE TEE,0,WOMEN
2019-10-01,BETTERKIND,300816285,WOOL BLEND VEST_BP2AWC2907,베터카인드 스튜디오,베터카인드 스튜디오 / KOREA,nan,KOREA,WOOL50 POLYESTER 50,WOOL50 POLYESTER 50,"276,500","395,000",VEST,0,WOMEN
2019-10-01,BETTERKIND,300816595,SHOULDER BELTED COAT_BP2AWC0123,베터카인드 스튜디오,베터카인드 스튜디오 / KOREA,nan,KOREA,WOOL75 NYLON25 / COTTON97 SPAN3,WOOL75 NYLON25 / COTTON97 SPAN3,"336,000","480,000",COAT,0,WOMEN
2019-07-15,BETTERKIND,300733935,BELL SLEEVE SPORTY DRESS_BP3AWD0418,베터카인드 스튜디오,베터카인드 스튜디오 / KOREA,nan,KOREA,POLOYESTER 98 POLYURETHANE 2 / POLYESTER 100,POLOYESTER 98 POLYURETHANE 2 / POLYESTER 100,"333,000","370,000",MAXIS,0,WOMEN
2019-10-01,BETTERKIND,300816598,OVERSIZED BLOCK WOOL TRENCH COAT_BP2AWC3007,베터카인드 스튜디오,베터카인드 스튜디오 / KOREA,nan,KOREA,WOOL50 POLYESTER 50,WOOL50 POLYESTER 50,"560,500","590,000",COAT,0,WOMEN
2019-02-20,bibyseob,300613237,DIAGONAL LONG OPS BEIGE,바이바이섭,바이바이섭 / KOREA,nan,KOREA,POLYESTER 94%SPAN 6%,POLYESTER 94%SPAN 6%,"89,600","128,000",MAXIS,0,WOMEN
2019-11-01,bibyseob,300827690,SET FUR JACKET BLUE+SKIRT BLUE,바이바이섭,바이바이섭 / KOREA,nan,KOREA,POLYESTER 100%,POLYESTER 100%,"180,800","226,000",JACKET,0,WOMEN
2019-02-01,BIGWAVE COLLECTIVE,300612340,Original University T-shirt HONOLULU,BIGWAVE COLLECTIVE,BIGWAVE COLLECTIVE / KOREA,nan,KOREA,PRESHRUNK USA COTTON 100%,PRESHRUNK USA COTTON 100%,"23,400","39,000",SHORT-SLEEVE TEE,0,MEN
2018-12-01,BIGWAVE COLLECTIVE,300612333,Original University Sweat HONOLULU,BIGWAVE COLLECTIVE,BIGWAVE COLLECTIVE / KOREA,nan,KOREA,겉감(30수 코마사) / 안감(20수 코마사),겉감(30수 코마사) / 안감(20수 코마사),"45,600","76,000",LONG-SLEEVE TEE,0,MEN
2017-03-23,BLANC & ECLARE,300727238,Samantha Gingham set crop top_SS3617GO,BLANC&ECLARE,BLANC&ECLARE / KOREA,nan,KOREA,Cotton 100%,Cotton 100%,nan,"190,000",BLOUSE,0,WOMEN
2017-03-23,BLANC & ECLARE,300328263,Blinky 데님팬츠_SS1761MB,BLANC&ECLARE,BLANC&ECLARE / KOREA,nan,KOREA,100% cotton,100% cotton,nan,"182,000",STRAIGHT,0,WOMEN
2018-09-05,BLACX_YOHANIX,300613037,HOODIE GREEN,YOHANIX,YOHANIX / CHINA,nan,CHINA,COTTON 100%,COTTON 100%,nan,"95,000",HOODIE,0,MEN
2018-08-17,BLANC & ECLARE,300727235,Beth Gingham set mini skirt_SS3618GO,BLANC&ECLARE,BLANC&ECLARE / KOREA,nan,KOREA,Cotton 100%,Cotton 100%,nan,"156,000",MINI SKIRT,0,WOMEN
2019-10-14,BLACX_YOHANIX,300771478,CREWNECKS BLACK (TIGER),YOHANIX,YOHANIX / CHINA,nan,CHINA,COTTON 100%,COTTON 100%,nan,"86,000",LONG-SLEEVE TEE,0,MEN
2019-10-14,BLACX_YOHANIX,300771314,HOODIE BLUE (CAT 3),YOHANIX,YOHANIX / CHINA,nan,CHINA,COTTON 100%,COTTON 100%,nan,"96,000",HOODIE,0,MEN
2017-03-23,BLANC & ECLARE,300472250,HELEN Crop Top_SS3535BW,BLANC&ECLARE,BLANC&ECLARE / KOREA,nan,KOREA,Cotton 100%,Cotton 100%,nan,"198,000",BLOUSE,0,WOMEN
2019-02-26,BLACX_YOHANIX,300613411,TRACK PANTS BLACK,YOHANIX,YOHANIX / CHINA,nan,CHINA,POLYESTER 100% / NYLON 100%,POLYESTER 100% / NYLON 100%,nan,"89,000",ATHLETICS,0,MEN
2019-10-14,BLACX_YOHANIX,300771323,HOODIE BLACK (FLAMINGO 2),YOHANIX,YOHANIX / CHINA,nan,CHINA,COTTON 100%,COTTON 100%,nan,"96,000",HOODIE,0,MEN
2017-03-23,BLANC & ECLARE,300488936,LEDA Dress_SS3546BK,BLANC&ECLARE,BLANC&ECLARE / KOREA,nan,KOREA,Polyester 100%,Polyester 100%,nan,"573,000",MINIS,0,WOMEN
2019-10-10,blank03,300777450,cashmere knit pants (3colors),blank03,blank03 / KOREA,nan,KOREA,"cashmere 5%, superfine merino wool 95%","cashmere 5%, superfine merino wool 95%","90,300","129,000",WIDE LEG,0,WOMEN
2019-09-02,BLUR1.0,300786033,WOOL COAT BROWN,BLUR1.0,BLUR1.0 / KOREA,nan,KOREA,WOOL 90% / NYLON 10%,WOOL 90% / NYLON 10%,"285,350","439,000",COAT,0,WOMEN
2019-09-02,BLUR1.0,300786052,FLEECE JACKET IVORY,BLUR1.0,BLUR1.0 / KOREA,nan,KOREA,POLYESTER 80% / ACRYLIC 20%,POLYESTER 80% / ACRYLIC 20%,"138,600","198,000",JUMPER,0,WOMEN
2019-09-02,BLUR1.0,300786048,FLEECE JACKET NAVY,BLUR1.0,BLUR1.0 / KOREA,nan,KOREA,POLYESTER 80% / ACRYLIC 20%,POLYESTER 80% / ACRYLIC 20%,"128,700","198,000",JUMPER,0,WOMEN
2019-09-02,BLUR1.0,300786034,WOOL CHECK COAT BROWN,BLUR1.0,BLUR1.0 / KOREA,nan,KOREA,WOOL 90% / NYLON 10%,WOOL 90% / NYLON 10%,"285,350","439,000",COAT,0,WOMEN
2019-09-02,BLUR1.0,300786060,FLEECE JACKET BLACK,BLUR1.0,BLUR1.0 / KOREA,nan,KOREA,POLYESTER 80% / ACRYLIC 20%,POLYESTER 80% / ACRYLIC 20%,"128,700","198,000",JACKET,0,WOMEN
2019-09-23,BLUSHED,300751920,WHITE FUR MUSTANG JACKET,BLUSHED,BLUSHED / KOREA,nan,KOREA,WOOL30% POLYESTER70%,WOOL30% POLYESTER70%,"232,800","388,000",JACKET,0,WOMEN
2018-10-16,bonuma,300559467,sunshine coat,bonuma,bonuma / KOREA,nan,KOREA,"Wool85%,nylon15%","Wool85%,nylon15%",nan,"486,000",COAT,0,WOMEN
2018-06-07,BONNIE&BLANCHE,300477737,SUMMER NIGHT BREEZE T-SHIRT,BONNIE&BLANCHE,BONNIE&BLANCHE / KOREA,nan,KOREA,"COTTON 100% / COTTON 58%, NYLON27%, TENCEL 10%, SPAN 5%","COTTON 100% / COTTON 58%, NYLON27%, TENCEL 10%, SPAN 5%","31,200","39,000",SHORT-SLEEVE TEE,0,MEN
2018-06-01,bohemianblue,300479050,망고 튜브 원피스수영복,보헤미안블루,보헤미안블루 / KOREA,nan,KOREA,나일론80/스판덱스20,나일론80/스판덱스20,"74,100","78,000",원피스,0,LIFE
2018-06-05,BONNIE&BLANCHE,300477272,WAVE SUMMER SHIRT (BLACK),BONNIE&BLANCHE,BONNIE&BLANCHE / KOREA,nan,KOREA,COTTON 100%,COTTON 100%,"71,200","89,000",SHORT-SLEEVE TEE,0,MEN
2019-06-01,bohemianblue,300700229,스트라이프 타이업 원피스 수영복 RD,보헤미안블루,보헤미안블루 / KOREA,nan,KOREA,나일론80/스판덱스20,나일론80/스판덱스20,"84,550","89,000",원피스,0,LIFE
2019-09-10,BLUSHED,300751953,BEIGE FUR MUSTANG COAT,BLUSHED,BLUSHED / KOREA,nan,KOREA,WOOL30% POLYESTER70%,WOOL30% POLYESTER70%,"256,800","428,000",COAT,0,WOMEN
2018-06-01,bohemianblue,300479049,토코투칸 튜브 원피스 수영복,보헤미안블루,보헤미안블루 / KOREA,nan,KOREA,나일론80/스판덱스20,나일론80/스판덱스20,"74,100","78,000",원피스,0,LIFE
2019-05-01,bohemianblue,300679034,라인 러플 원숄더 원피스 수영복,보헤미안블루,보헤미안블루 / KOREA,nan,KOREA,나일론80/스판덱스20,나일론80/스판덱스20,"84,550","89,000",원피스,0,LIFE
2019-09-01,bouton,300737245,MEN'S WIDE TUCK PANTS - CAMEL,BOUTON,BOUTON / KOREA,nan,KOREA,COTTON 97 POLYURETHANE 3,COTTON 97 POLYURETHANE 3,"207,100","218,000",WIDE LEG,0,WOMEN
