birth,brand,code,explain,firm_import,firm_madein,image_link,made_in,material,material2,now_price,origin_price,product,star_score,target
2019-08-10,fliaer,300764857,Raglan Down Coat Ivory/Indipink,미래앤와이드글로벌,미래앤와이드글로벌 / CHINA,nan,CHINA,겉감 폴리에스터 100% / 안감 폴리에스터 100% / 덕다운 100%,겉감 폴리에스터 100% / 안감 폴리에스터 100% / 덕다운 100%,"149,500","299,000",PADDING,0,WOMEN
2019-08-10,fliaer,300764881,Handmade Cape,미래앤와이드글로벌,미래앤와이드글로벌 / CHINA,nan,CHINA,울 70% 폴리에스터 30%,울 70% 폴리에스터 30%,"174,300","249,000",JACKET,0,WOMEN
2019-08-10,fliaer,300764824,Hacci Heavy Knit Black,미래앤와이드글로벌,미래앤와이드글로벌 / CHINA,nan,CHINA,울 90% 캐시미어 10%,울 90% 캐시미어 10%,"174,300","249,000",PULLOVER,0,WOMEN
2019-07-02,FLEXXION,300703862,[UNISEX] EMERALD TEE,플렉션 FLEXXION,플렉션 FLEXXION / KOREA,nan,KOREA,COTTON 100%,COTTON 100%,"26,000","52,000",SHORT-SLEEVE TEE,0,WOMEN
2019-07-11,FLEXXION,300707626,[UNISEX] SUNNY STRIPE SET,플렉션 FLEXXION,플렉션 FLEXXION / KOREA,nan,KOREA,"RAYON 85% , POLYESTER 12% , SPAN","RAYON 85% , POLYESTER 12% , SPAN","48,300","69,000",SHORT-SLEEVE TEE,0,WOMEN
2019-07-11,FLEXXION,300707632,[UNISEX] AURORA 2WAY SKIRT,플렉션 FLEXXION,플렉션 FLEXXION / KOREA,nan,KOREA,"POLYESTER 95% , SPAN 5%","POLYESTER 95% , SPAN 5%","58,800","84,000",LONG SKIRT,0,WOMEN
2019-09-01,FRONTROW,300747429,[FRONTROW X pushBUTTON] Hood Point Check Coat,FRONTROW,FRONTROW / CHINA,nan,CHINA,"Wool 72%, Polyester 15%, Polyamide 9%, Acrylic 3%, Others 1%","Wool 72%, Polyester 15%, Polyamide 9%, Acrylic 3%, Others 1%",nan,"458,000",COAT,0,WOMEN
2019-09-01,FRONTROW,300746577,Thermore® Reversible Padding Trench,FRONTROW,FRONTROW / VIETNAM,nan,VIETNAM,POLYESTER 100% ,POLYESTER 100% ,nan,"318,000",PADDING,0,WOMEN
2019-08-01,FRONTROW,300725480,[FRONTROW x RePLAIN] Argyle Mohair 2-way Cardigan,FRONTROW,FRONTROW / CHINA,nan,CHINA,"SUPER KID MOHAIR 32%, BABY ALPACA 32%, NYLON 36%","SUPER KID MOHAIR 32%, BABY ALPACA 32%, NYLON 36%",nan,"148,000",CARDIGAN,0,WOMEN
2019-07-01,FRONTROW,300704120,[FRONTROW X RECTO.] Reversible Eco Shearing Coat,FRONTROW,FRONTROW / KOREA,nan,KOREA,"(겉)Polyurethane 100%(합성가죽), (안)Polyester 100%","(겉)Polyurethane 100%(합성가죽), (안)Polyester 100%","334,400","418,000",COAT,0,WOMEN
2019-08-10,fliaer,300755325,Floral Voluminous Blouse Ivory,미래앤와이드글로벌,미래앤와이드글로벌 / KOREA,nan,KOREA,면 100%,면 100%,"118,300","169,000",BLOUSE,0,WOMEN
2019-10-01,FRONTROW,300761850,Double-breasted Tailored Coat,(주)더블유컨셉코리아,(주)더블유컨셉코리아 / CHINA,nan,CHINA,Wool 100%,Wool 100%,nan,"348,000",COAT,0,WOMEN
2019-08-10,fliaer,300764889,Houndstooth Handmade Coat,미래앤와이드글로벌,미래앤와이드글로벌 / CHINA,nan,CHINA,울 70% 폴리에스터 30%,울 70% 폴리에스터 30%,"149,500","299,000",COAT,0,WOMEN
2018-06-11,FREIHEIT,300485508,FRILL SKIRT (NAVY),FREIHEIT,FREIHEIT / KOREA,nan,KOREA,COTTON100,COTTON100,"27,200","68,000",MIDDLE-LENGTH SKIRT,0,WOMEN
